Action ID,Step ID,Action Name,System/Manual,Tool Used,Estimated Time (h),Action Cost ($)
ACT-274,ST-133,AI-Based Pattern Detection,System,Grafana,0.23,11.67
ACT-275,ST-134,Manual Correction,System,Snowflake,0.05,2.5
ACT-276,ST-134,Run SQL Query,Manual,Slack,0.1,5.0
ACT-277,ST-135,Run SQL Query,Manual,Excel,0.13,6.67
ACT-278,ST-136,Run SQL Query,System,Excel,0.12,5.83
ACT-279,ST-137,AI-Based Pattern Detection,System,Slack,0.12,5.83
ACT-280,ST-138,Run SQL Query,System,Datadog,0.05,2.5
ACT-281,ST-138,Manual Correction,Manual,Grafana,0.18,9.17
ACT-282,ST-138,Run SQL Query,System,Datadog,0.03,1.67
ACT-283,ST-139,Run SQL Query,System,BigQuery,0.22,10.83
ACT-284,ST-139,Run SQL Query,System,Looker,0.13,6.67
ACT-285,ST-139,Manual Correction,System,BigQuery,0.2,10.0
ACT-286,ST-140,Manual Correction,System,Datadog,0.07,3.33
ACT-287,ST-140,Generate Report,Manual,JIRA,0.25,12.5
ACT-288,ST-140,AI-Based Pattern Detection,Manual,Excel,0.13,6.67
ACT-289,ST-141,Generate Report,System,Datadog,0.03,1.67
ACT-290,ST-141,Manual Correction,System,Snowflake,0.08,4.17
ACT-291,ST-142,Generate Report,System,Grafana,0.18,9.17
ACT-292,ST-142,Run SQL Query,System,Redshift,0.22,10.83
ACT-293,ST-143,Generate Report,Manual,Datadog,0.03,1.67
ACT-294,ST-143,Run SQL Query,System,BigQuery,0.1,5.0
ACT-295,ST-143,AI-Based Pattern Detection,Manual,Redshift,0.15,7.5
ACT-296,ST-144,Manual Correction,System,JIRA,0.05,2.5
ACT-297,ST-144,Manual Correction,System,Redshift,0.17,8.33
ACT-298,ST-144,AI-Based Pattern Detection,Manual,Slack,0.17,8.33
ACT-299,ST-145,Generate Report,Manual,Looker,0.22,10.83
ACT-300,ST-146,Run SQL Query,System,Looker,0.1,5.0
ACT-301,ST-146,Validate Logs,Manual,Redshift,0.22,10.83
ACT-302,ST-147,AI-Based Pattern Detection,Manual,Grafana,0.23,11.67
ACT-303,ST-147,Manual Correction,System,Grafana,0.17,8.33
ACT-304,ST-148,Generate Report,System,BigQuery,0.22,10.83
ACT-305,ST-148,AI-Based Pattern Detection,System,JIRA,0.2,10.0
ACT-306,ST-149,AI-Based Pattern Detection,System,JIRA,0.23,11.67
ACT-307,ST-150,Manual Correction,System,Snowflake,0.08,4.17
ACT-308,ST-150,AI-Based Pattern Detection,Manual,Grafana,0.25,12.5
ACT-309,ST-151,Run SQL Query,Manual,JIRA,0.08,4.17
ACT-310,ST-151,Manual Correction,System,Snowflake,0.22,10.83
ACT-311,ST-152,AI-Based Pattern Detection,Manual,JIRA,0.23,11.67
ACT-312,ST-152,Run SQL Query,Manual,Redshift,0.18,9.17
ACT-313,ST-152,Run SQL Query,System,Looker,0.15,7.5
ACT-314,ST-153,Validate Logs,Manual,Slack,0.12,5.83
ACT-315,ST-153,Run SQL Query,Manual,Grafana,0.07,3.33
ACT-316,ST-154,AI-Based Pattern Detection,System,Datadog,0.1,5.0
ACT-317,ST-154,Run SQL Query,System,Snowflake,0.18,9.17
ACT-318,ST-154,Manual Correction,System,Slack,0.22,10.83
ACT-319,ST-155,Manual Correction,System,Slack,0.22,10.83
ACT-320,ST-155,Run SQL Query,Manual,Slack,0.2,10.0
ACT-321,ST-156,Validate Logs,System,Snowflake,0.2,10.0
ACT-322,ST-157,Validate Logs,System,Redshift,0.1,5.0
ACT-323,ST-157,AI-Based Pattern Detection,Manual,Datadog,0.2,10.0
ACT-324,ST-157,Generate Report,System,Looker,0.08,4.17
ACT-325,ST-158,Generate Report,System,BigQuery,0.25,12.5
ACT-326,ST-159,AI-Based Pattern Detection,Manual,Datadog,0.08,4.17
ACT-327,ST-160,Manual Correction,System,Snowflake,0.15,7.5
ACT-328,ST-161,Validate Logs,Manual,Redshift,0.1,5.0
ACT-329,ST-161,Validate Logs,Manual,Excel,0.25,12.5
ACT-330,ST-162,Manual Correction,Manual,Redshift,0.23,11.67
ACT-331,ST-162,Manual Correction,Manual,Snowflake,0.25,12.5
ACT-332,ST-163,Manual Correction,Manual,Redshift,0.07,3.33
ACT-333,ST-163,Generate Report,System,Grafana,0.1,5.0
ACT-334,ST-163,Generate Report,System,Looker,0.1,5.0
ACT-335,ST-164,Validate Logs,Manual,Snowflake,0.23,11.67
ACT-336,ST-164,Run SQL Query,System,Grafana,0.05,2.5
ACT-337,ST-165,Manual Correction,Manual,JIRA,0.03,1.67
ACT-338,ST-165,Validate Logs,Manual,Looker,0.18,9.17
ACT-339,ST-165,Run SQL Query,Manual,BigQuery,0.05,2.5
ACT-340,ST-166,Run SQL Query,System,Datadog,0.03,1.67
ACT-341,ST-166,Generate Report,System,Slack,0.17,8.33
ACT-342,ST-167,Manual Correction,System,Grafana,0.07,3.33
ACT-343,ST-167,Validate Logs,Manual,Grafana,0.17,8.33
ACT-344,ST-168,Manual Correction,Manual,JIRA,0.15,7.5
ACT-345,ST-169,Generate Report,System,Redshift,0.1,5.0
ACT-346,ST-169,AI-Based Pattern Detection,System,Snowflake,0.2,10.0
ACT-347,ST-169,Manual Correction,System,Redshift,0.23,11.67
ACT-348,ST-170,AI-Based Pattern Detection,System,Excel,0.17,8.33
ACT-349,ST-170,AI-Based Pattern Detection,Manual,Looker,0.07,3.33
ACT-350,ST-170,Generate Report,System,Looker,0.17,8.33
ACT-351,ST-171,Generate Report,Manual,Redshift,0.25,12.5
ACT-352,ST-172,Manual Correction,Manual,Looker,0.13,6.67
ACT-353,ST-173,Manual Correction,System,Datadog,0.25,12.5
ACT-354,ST-173,Generate Report,System,Excel,0.15,7.5
ACT-355,ST-173,Run SQL Query,Manual,BigQuery,0.2,10.0
ACT-356,ST-174,Manual Correction,System,Looker,0.07,3.33
ACT-357,ST-174,Manual Correction,System,Redshift,0.05,2.5
ACT-358,ST-175,AI-Based Pattern Detection,System,Snowflake,0.13,6.67
ACT-359,ST-175,Validate Logs,Manual,Datadog,0.07,3.33
ACT-360,ST-176,Validate Logs,System,Excel,0.05,2.5
ACT-361,ST-176,Generate Report,Manual,Datadog,0.25,12.5
ACT-362,ST-177,AI-Based Pattern Detection,System,Excel,0.08,4.17
ACT-363,ST-177,Manual Correction,Manual,Grafana,0.1,5.0
ACT-364,ST-177,Generate Report,System,Redshift,0.08,4.17
ACT-365,ST-178,Manual Correction,Manual,Snowflake,0.08,4.17
ACT-366,ST-178,AI-Based Pattern Detection,Manual,Redshift,0.25,12.5
ACT-367,ST-178,Validate Logs,Manual,Datadog,0.2,10.0
ACT-368,ST-179,Manual Correction,Manual,Slack,0.05,2.5
ACT-369,ST-179,Manual Correction,Manual,BigQuery,0.15,7.5
ACT-370,ST-179,Run SQL Query,Manual,JIRA,0.12,5.83
ACT-371,ST-180,Run SQL Query,System,BigQuery,0.17,8.33
ACT-372,ST-181,Run SQL Query,System,Looker,0.07,3.33
ACT-373,ST-182,AI-Based Pattern Detection,Manual,Grafana,0.2,10.0
ACT-374,ST-182,AI-Based Pattern Detection,Manual,Redshift,0.03,1.67
ACT-375,ST-182,Validate Logs,Manual,Datadog,0.22,10.83
ACT-376,ST-183,Manual Correction,System,Snowflake,0.25,12.5
ACT-377,ST-184,AI-Based Pattern Detection,Manual,Looker,0.22,10.83
ACT-378,ST-184,Validate Logs,System,Grafana,0.08,4.17
ACT-379,ST-184,AI-Based Pattern Detection,System,BigQuery,0.08,4.17
ACT-380,ST-185,Validate Logs,System,Slack,0.03,1.67
ACT-381,ST-185,Generate Report,Manual,Looker,0.23,11.67
ACT-382,ST-185,Manual Correction,System,Looker,0.07,3.33
ACT-383,ST-186,AI-Based Pattern Detection,System,Looker,0.08,4.17
ACT-384,ST-186,Manual Correction,System,Looker,0.05,2.5
ACT-385,ST-187,AI-Based Pattern Detection,System,Datadog,0.22,10.83
ACT-386,ST-187,AI-Based Pattern Detection,Manual,JIRA,0.12,5.83
ACT-387,ST-187,AI-Based Pattern Detection,System,Snowflake,0.03,1.67
ACT-388,ST-188,Validate Logs,Manual,Datadog,0.13,6.67
ACT-389,ST-189,Generate Report,System,Excel,0.25,12.5
ACT-390,ST-190,Manual Correction,System,Datadog,0.05,2.5
ACT-391,ST-191,AI-Based Pattern Detection,Manual,Grafana,0.2,10.0
ACT-392,ST-192,Validate Logs,Manual,Slack,0.07,3.33
ACT-393,ST-192,Generate Report,Manual,Datadog,0.1,5.0
ACT-394,ST-193,AI-Based Pattern Detection,System,Redshift,0.03,1.67
ACT-395,ST-194,Validate Logs,System,Redshift,0.22,10.83
ACT-396,ST-194,Validate Logs,System,Grafana,0.23,11.67
ACT-397,ST-195,AI-Based Pattern Detection,Manual,Grafana,0.08,4.17
ACT-398,ST-196,Validate Logs,Manual,BigQuery,0.08,4.17
ACT-399,ST-197,Generate Report,Manual,Datadog,0.18,9.17
ACT-400,ST-197,Generate Report,Manual,Snowflake,0.18,9.17
ACT-401,ST-198,AI-Based Pattern Detection,Manual,Slack,0.1,5.0
ACT-402,ST-199,Validate Logs,Manual,Looker,0.12,5.83
ACT-403,ST-199,Validate Logs,Manual,Redshift,0.25,12.5
ACT-404,ST-200,Validate Logs,System,Datadog,0.18,9.17
ACT-405,ST-200,AI-Based Pattern Detection,System,Excel,0.25,12.5
ACT-406,ST-200,Validate Logs,System,Excel,0.03,1.67
ACT-407,ST-201,Validate Logs,Manual,Datadog,0.1,5.0
ACT-408,ST-202,Validate Logs,System,Looker,0.05,2.5
ACT-409,ST-203,AI-Based Pattern Detection,System,Snowflake,0.03,1.67
ACT-410,ST-203,AI-Based Pattern Detection,Manual,Snowflake,0.18,9.17
ACT-411,ST-204,Validate Logs,Manual,BigQuery,0.17,8.33
ACT-412,ST-205,AI-Based Pattern Detection,System,Excel,0.1,5.0
ACT-413,ST-206,Run SQL Query,System,BigQuery,0.07,3.33
ACT-414,ST-207,AI-Based Pattern Detection,Manual,Looker,0.05,2.5
ACT-415,ST-207,Generate Report,System,Looker,0.22,10.83
ACT-416,ST-208,Generate Report,System,Snowflake,0.25,12.5
ACT-417,ST-208,AI-Based Pattern Detection,Manual,BigQuery,0.17,8.33
ACT-418,ST-208,Run SQL Query,System,Looker,0.12,5.83
ACT-419,ST-209,AI-Based Pattern Detection,Manual,Snowflake,0.17,8.33
ACT-420,ST-209,Manual Correction,Manual,Snowflake,0.15,7.5
ACT-421,ST-209,Run SQL Query,System,Grafana,0.12,5.83
ACT-422,ST-210,AI-Based Pattern Detection,Manual,Datadog,0.18,9.17
ACT-423,ST-210,AI-Based Pattern Detection,Manual,Redshift,0.08,4.17
ACT-424,ST-211,Run SQL Query,System,Excel,0.15,7.5
ACT-425,ST-211,AI-Based Pattern Detection,Manual,Excel,0.07,3.33
ACT-426,ST-212,AI-Based Pattern Detection,Manual,Redshift,0.23,11.67
ACT-427,ST-212,Validate Logs,Manual,JIRA,0.23,11.67
ACT-428,ST-212,Manual Correction,System,Slack,0.12,5.83
ACT-429,ST-213,Run SQL Query,System,BigQuery,0.12,5.83
ACT-430,ST-213,Run SQL Query,Manual,Looker,0.08,4.17
ACT-431,ST-214,Generate Report,System,Snowflake,0.15,7.5
ACT-432,ST-215,Generate Report,Manual,Snowflake,0.13,6.67
ACT-433,ST-215,Generate Report,Manual,JIRA,0.07,3.33
ACT-434,ST-216,Generate Report,System,JIRA,0.2,10.0
ACT-435,ST-216,Run SQL Query,System,Redshift,0.22,10.83
ACT-436,ST-216,Validate Logs,System,Snowflake,0.1,5.0
ACT-437,ST-217,AI-Based Pattern Detection,Manual,Datadog,0.07,3.33
ACT-438,ST-217,Run SQL Query,Manual,BigQuery,0.03,1.67
ACT-439,ST-218,Validate Logs,System,JIRA,0.2,10.0
ACT-440,ST-219,Validate Logs,System,Datadog,0.13,6.67
ACT-441,ST-220,Generate Report,System,Excel,0.05,2.5
ACT-442,ST-221,Generate Report,Manual,Looker,0.2,10.0
ACT-443,ST-222,AI-Based Pattern Detection,Manual,Redshift,0.12,5.83
ACT-444,ST-222,AI-Based Pattern Detection,System,Slack,0.15,7.5
ACT-445,ST-223,Validate Logs,Manual,Grafana,0.12,5.83
ACT-446,ST-224,Generate Report,Manual,Redshift,0.08,4.17
ACT-447,ST-224,Generate Report,Manual,Datadog,0.08,4.17
ACT-448,ST-224,Validate Logs,Manual,Redshift,0.08,4.17
ACT-449,ST-225,Generate Report,Manual,Snowflake,0.18,9.17
ACT-450,ST-225,AI-Based Pattern Detection,System,Excel,0.13,6.67
ACT-451,ST-226,Run SQL Query,System,Redshift,0.17,8.33
ACT-452,ST-227,AI-Based Pattern Detection,System,BigQuery,0.17,8.33
ACT-453,ST-227,Generate Report,Manual,Redshift,0.08,4.17
ACT-454,ST-227,Manual Correction,Manual,JIRA,0.1,5.0
ACT-455,ST-228,Manual Correction,Manual,Redshift,0.13,6.67
ACT-456,ST-228,Run SQL Query,Manual,Slack,0.2,10.0
ACT-457,ST-229,Run SQL Query,System,Redshift,0.22,10.83
ACT-458,ST-230,Validate Logs,System,Redshift,0.13,6.67
ACT-459,ST-230,AI-Based Pattern Detection,Manual,Excel,0.25,12.5
ACT-460,ST-230,Generate Report,System,Slack,0.03,1.67
ACT-461,ST-231,Validate Logs,Manual,Redshift,0.23,11.67
ACT-462,ST-231,AI-Based Pattern Detection,Manual,BigQuery,0.22,10.83
ACT-463,ST-231,Run SQL Query,Manual,Datadog,0.22,10.83
ACT-464,ST-232,Validate Logs,System,Excel,0.22,10.83
ACT-465,ST-233,Validate Logs,Manual,Redshift,0.12,5.83
ACT-466,ST-233,Validate Logs,System,JIRA,0.23,11.67
ACT-467,ST-233,Manual Correction,System,Snowflake,0.2,10.0
ACT-468,ST-234,Generate Report,Manual,Excel,0.22,10.83
ACT-469,ST-235,Generate Report,System,BigQuery,0.23,11.67
ACT-470,ST-235,Run SQL Query,System,Grafana,0.12,5.83
ACT-471,ST-236,Validate Logs,Manual,Grafana,0.15,7.5
ACT-472,ST-236,Manual Correction,System,BigQuery,0.23,11.67
ACT-473,ST-237,Manual Correction,System,JIRA,0.08,4.17
ACT-474,ST-238,AI-Based Pattern Detection,Manual,BigQuery,0.13,6.67
ACT-475,ST-239,AI-Based Pattern Detection,Manual,Redshift,0.17,8.33
ACT-476,ST-239,Validate Logs,System,Redshift,0.18,9.17
ACT-477,ST-240,Validate Logs,System,Datadog,0.18,9.17
ACT-478,ST-241,Manual Correction,Manual,Excel,0.1,5.0
ACT-479,ST-242,Manual Correction,System,Grafana,0.18,9.17
ACT-480,ST-242,Generate Report,Manual,Looker,0.12,5.83
ACT-481,ST-243,Generate Report,System,Snowflake,0.25,12.5
ACT-482,ST-243,Manual Correction,Manual,Datadog,0.12,5.83
ACT-483,ST-243,Validate Logs,Manual,Redshift,0.07,3.33
ACT-484,ST-244,Manual Correction,System,JIRA,0.22,10.83
ACT-485,ST-244,Manual Correction,Manual,JIRA,0.13,6.67
ACT-486,ST-244,Manual Correction,System,Looker,0.18,9.17
ACT-487,ST-245,AI-Based Pattern Detection,Manual,Datadog,0.03,1.67
ACT-488,ST-245,Generate Report,Manual,Redshift,0.2,10.0
ACT-489,ST-246,Validate Logs,Manual,Looker,0.2,10.0
ACT-490,ST-247,AI-Based Pattern Detection,Manual,Excel,0.1,5.0
ACT-491,ST-248,Manual Correction,System,Redshift,0.18,9.17
ACT-492,ST-249,Validate Logs,Manual,Looker,0.12,5.83
ACT-493,ST-249,Run SQL Query,Manual,Slack,0.22,10.83
ACT-494,ST-250,Validate Logs,Manual,Grafana,0.23,11.67
ACT-495,ST-250,Generate Report,System,Slack,0.25,12.5
ACT-496,ST-251,Generate Report,System,Redshift,0.23,11.67
ACT-497,ST-251,AI-Based Pattern Detection,System,Slack,0.2,10.0
ACT-498,ST-252,Generate Report,Manual,BigQuery,0.15,7.5
ACT-499,ST-252,Validate Logs,System,Looker,0.12,5.83
ACT-500,ST-252,Manual Correction,Manual,Snowflake,0.23,11.67
ACT-501,ST-253,AI-Based Pattern Detection,System,Datadog,0.25,12.5
ACT-502,ST-254,AI-Based Pattern Detection,Manual,Looker,0.17,8.33
ACT-503,ST-254,Generate Report,Manual,Excel,0.05,2.5
ACT-504,ST-255,Run SQL Query,Manual,Grafana,0.07,3.33
ACT-505,ST-255,Run SQL Query,Manual,JIRA,0.23,11.67
ACT-506,ST-256,Generate Report,Manual,Looker,0.13,6.67
ACT-507,ST-257,Generate Report,System,JIRA,0.23,11.67
ACT-508,ST-258,Run SQL Query,System,Datadog,0.23,11.67
ACT-509,ST-259,AI-Based Pattern Detection,System,Excel,0.18,9.17
ACT-510,ST-259,Validate Logs,System,Grafana,0.18,9.17
ACT-511,ST-260,Validate Logs,Manual,BigQuery,0.23,11.67
ACT-512,ST-261,AI-Based Pattern Detection,Manual,Grafana,0.08,4.17
ACT-513,ST-262,Run SQL Query,Manual,Snowflake,0.08,4.17
ACT-514,ST-262,Generate Report,System,Excel,0.05,2.5
ACT-515,ST-262,Validate Logs,Manual,JIRA,0.07,3.33
ACT-516,ST-263,Manual Correction,System,Excel,0.23,11.67
ACT-517,ST-263,Manual Correction,System,Slack,0.2,10.0
ACT-518,ST-263,Validate Logs,System,Looker,0.15,7.5
ACT-519,ST-264,Run SQL Query,Manual,Excel,0.12,5.83
ACT-520,ST-264,Manual Correction,Manual,Grafana,0.05,2.5
ACT-521,ST-264,Manual Correction,Manual,Slack,0.13,6.67
ACT-522,ST-265,Run SQL Query,System,BigQuery,0.05,2.5
ACT-523,ST-265,Validate Logs,System,BigQuery,0.17,8.33
ACT-524,ST-265,AI-Based Pattern Detection,Manual,Looker,0.22,10.83
ACT-525,ST-266,Validate Logs,System,Datadog,0.23,11.67
ACT-526,ST-266,AI-Based Pattern Detection,System,Slack,0.2,10.0
ACT-527,ST-267,Run SQL Query,System,JIRA,0.03,1.67
ACT-528,ST-268,AI-Based Pattern Detection,Manual,Looker,0.15,7.5
ACT-529,ST-269,AI-Based Pattern Detection,System,Snowflake,0.17,8.33
ACT-530,ST-269,AI-Based Pattern Detection,System,Redshift,0.03,1.67
ACT-531,ST-269,AI-Based Pattern Detection,System,Grafana,0.12,5.83
ACT-532,ST-270,Run SQL Query,System,Datadog,0.2,10.0
ACT-533,ST-271,Manual Correction,Manual,Excel,0.23,11.67
ACT-534,ST-272,Validate Logs,System,Slack,0.15,7.5
ACT-535,ST-272,AI-Based Pattern Detection,Manual,Excel,0.05,2.5
ACT-536,ST-272,Manual Correction,Manual,Redshift,0.13,6.67
ACT-537,ST-273,AI-Based Pattern Detection,Manual,JIRA,0.15,7.5
ACT-538,ST-273,AI-Based Pattern Detection,System,Slack,0.25,12.5
ACT-539,ST-274,Generate Report,System,BigQuery,0.18,9.17
ACT-540,ST-274,Run SQL Query,System,Snowflake,0.1,5.0
ACT-541,ST-275,Run SQL Query,System,Slack,0.07,3.33
ACT-542,ST-276,Validate Logs,System,Excel,0.25,12.5
ACT-543,ST-276,AI-Based Pattern Detection,System,JIRA,0.23,11.67
ACT-544,ST-277,AI-Based Pattern Detection,Manual,Excel,0.07,3.33
ACT-545,ST-277,Manual Correction,Manual,Slack,0.07,3.33
ACT-546,ST-277,Run SQL Query,Manual,BigQuery,0.18,9.17
